Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
KX1,China Plants,March,0,0,,0,0,0,0,0,213,0,758
KX3,China Plants,March,0,0,,0,0,0,0,0,0,0,890
Zhipao,China Plants,March,0,0,,0,0,0,0,0,0,0,1202
Sportage(KX5),China Plants,March,0,0,,0,0,0,0,0,0,0,628
KX7,China Plants,March,0,0,,0,0,0,0,0,0,0,0
Carnival,China Plants,March,0,0,,0,0,0,0,0,0,0,87
Sonet,China Plants,March,0,0,,0,0,0,0,0,0,0,0
Seltos,China Plants,March,0,0,,0,0,0,0,0,0,0,0
Sonet,India Plants,March,0,0,,0,0,669,633,348,180,7590,0
Seltos,India Plants,March,0,0,1937,0,0,1492,399,733,164,7641,0
Carens MPV,India Plants,March,0,0,,0,0,313,100,37,74,5484,0
Carnival (CKD),India Plants,March,0,0,,0,0,0,0,0,0,527,0
Morning / Picanto,CKD (excl. Russia),March,0,0,,0,0,0,221,0,101,0,0
Pegas,CKD (excl. Russia),March,0,0,,0,0,0,0,0,163,0,0
K3,CKD (excl. Russia),March,0,0,,0,0,0,0,0,378,0,0
K5 / Optima,CKD (excl. Russia),March,0,0,,0,0,0,0,0,66,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),March,0,0,,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),March,0,0,,0,0,162,0,0,536,0,0
Stonic,CKD (excl. Russia),March,0,0,,0,0,0,130,0,0,0,0
Seltos,CKD (excl. Russia),March,0,0,,0,0,0,0,0,359,0,0
Niro,CKD (excl. Russia),March,0,0,,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),March,0,0,,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),March,0,0,,0,150,0,358,0,230,0,0
Sorento,CKD (excl. Russia),March,0,0,,0,0,0,41,0,174,0,0
New Carens,CKD (excl. Russia),March,0,0,,0,0,0,0,0,1,0,0
Carens MPV,CKD (excl. Russia),March,0,0,,0,0,0,0,0,251,0,0
Carnival / Sedona,CKD (excl. Russia),March,0,0,,0,0,0,0,0,793,0,0
Bongo / Frontier,CKD (excl. Russia),March,0,0,,0,0,277,0,0,558,0,0
Bongo,Special Vehicle,March,0,0,,0,59,9,0,2,6,0,0
Millitary,Special Vehicle,March,0,0,,0,0,21,0,0,0,0,0
Bongo (CKD),Special Vehicle,March,0,0,,0,62,0,0,0,60,0,0
Millitary (CKD),Special Vehicle,March,0,0,,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,March,0,0,,0,0,0,0,0,68,0,0
Morning / Picanto,Korean Plant,April,0,0,0,6529,399,1832,889,1005,734,0,0
Pride / Rio,Korean Plant,April,0,0,0,2966,155,113,49,971,499,0,0
K3,Korean Plant,April,0,45,62,0,252,16,392,1,548,0,0
K5 / Optima,Korean Plant,April,0,0,0,0,413,4,807,2,0,0,0
Stinger,Korean Plant,April,963,72,2,97,151,0,11,0,243,0,0
"K7,8 / Cadenza",Korean Plant,April,0,0,0,0,20,0,134,0,0,0,0
K9,Korean Plant,April,0,0,0,0,12,0,0,0,0,0,0
Stonic,Korean Plant,April,0,0,0,5884,653,373,143,150,892,0,0
Seltos,Korean Plant,April,5428,2170,0,0,123,142,968,0,1197,0,0
Soul,Korean Plant,April,6590,149,183,0,53,62,3,0,2,0,0
Soul EV,Korean Plant,April,0,70,0,102,0,0,0,1,0,0,0
Niro,Korean Plant,April,2175,192,122,2999,15,108,113,40,228,0,0
Niro EV,Korean Plant,April,824,354,0,2906,14,6,27,9,101,0,0
Niro Plus,Korean Plant,April,0,0,0,0,0,0,516,8,55,0,0
Niro Plus EV,Korean Plant,April,0,0,0,0,0,0,23,0,16,0,0
EV6,Korean Plant,April,1241,139,0,2659,25,10,19,22,357,79,0
EV9,Korean Plant,April,0,0,0,0,0,0,0,0,0,0,0
Sportage,Korean Plant,April,6737,1438,666,0,1680,577,0,0,1258,0,0
Sorento,Korean Plant,April,2418,192,0,1112,694,164,791,111,1034,0,0
Mohave / Borrego,Korean Plant,April,0,0,,0,91,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,April,3029,540,,0,404,99,287,23,1411,0,0
Bongo / Frontier,Korean Plant,April,0,0,,0,79,607,1305,185,338,0,0
Bus,Korean Plant,April,0,0,,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,April,0,0,,7534,353,0,25,93,15,0,0
Cee'd CUV,Slovakia Plant,April,0,0,,3743,155,4,0,46,0,0,0
Sportage,Slovakia Plant,April,0,0,,13539,726,431,1883,700,0,0,0
Pride / Rio (SC),Mexico Plant,April,2792,340,4004,0,0,756,76,77,3,0,0
K3,Mexico Plant,April,11182,801,774,0,0,117,0,0,2,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),April,0,0,,0,30,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),April,0,0,,0,94,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),April,0,0,,0,57,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),April,0,0,,0,76,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),April,0,0,,0,0,0,0,0,0,0,0
Optima / K5,US Plant,April,5035,83,0,0,0,16,0,0,0,0,0
Sportage,US Plant,April,6689,0,0,0,0,46,0,0,0,0,0
Sorento,US Plant,April,4547,279,279,0,0,35,0,0,0,0,0
Telluride,US Plant,April,8555,500,0,0,0,4,125,0,4,0,0
Pegas,China Plants,April,0,0,,0,0,2699,1706,104,214,0,222
Forte,China Plants,April,0,0,,0,0,0,0,0,0,0,2685
K3,China Plants,April,0,0,,0,0,0,0,0,0,0,420
K5 / Optima,China Plants,April,0,0,,0,0,0,0,0,0,0,552
KX1,China Plants,April,0,0,,0,0,0,0,0,189,0,710
KX3,China Plants,April,0,0,,0,0,0,0,0,0,0,1041
Zhipao,China Plants,April,0,0,,0,0,0,0,0,0,0,939
