Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Sorento,Korea Plants,March,8974,1222,2,0,1619,993,238,2353,35,1077,0,0
Mohave / Borrego,Korea Plants,March,298,0,0,0,0,81,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,March,7643,3451,279,0,0,34,141,298,14,896,0,0
Bongo / Frontier,Korea Plants,March,3404,0,0,0,0,960,1117,1184,231,364,0,0
Bongo EV,Korea Plants,March,1180,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,March,127,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,March,0,0,0,0,8684,180,2,70,29,1,0,0
Cee'd CUV,Slovakia Plant,March,0,0,0,0,4363,87,12,0,83,0,0,0
Sportage,Slovakia Plant,March,0,0,0,0,19388,1067,459,2454,743,0,0,0
Pride / Rio (SC),Mexico Plant,March,0,246,63,4783,0,0,1189,215,48,1,0,0
K3,Mexico Plant,March,0,13417,1038,906,0,0,325,0,0,0,0,0
Pride / Rio (FB),*Russia Plant(HMMR),March,0,0,0,0,0,5,0,0,0,0,0,0
Optima / K5,US Plant,March,0,1174,2,0,0,0,7,0,0,0,0,0
Sportage,US Plant,March,0,8631,0,0,0,0,31,0,0,0,0,0
Sorento,US Plant,March,0,7577,869,124,0,0,31,0,0,0,0,0
Telluride,US Plant,March,0,10152,211,0,0,0,12,69,0,3,0,0
EV9,US Plant,March,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,March,0,0,0,0,0,0,2060,2418,110,137,0,40
Forte,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,3438
K3,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,853
K4,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,96
KX1,China Plants,March,0,0,0,0,0,0,0,0,0,190,0,745
Sonet,China Plants,March,0,0,0,112,0,0,21,0,0,0,0,1
KX3 / Seltos,China Plants,March,0,0,0,1710,0,0,815,1204,120,48,0,611
Zhipao,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,273
KX5 / Sportage,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,879
Carnival,China Plants,March,0,0,0,0,0,0,0,0,0,0,0,139
EV5,China Plants,March,0,0,0,0,0,0,1,0,0,0,0,533
Sonet,India Plant,March,0,0,0,0,0,0,736,558,710,154,8170,0
Seltos,India Plant,March,0,0,0,24,0,0,201,2,174,75,7345,0
Carens MPV,India Plant,March,0,0,0,0,0,0,201,375,101,58,4486,0
Carnival (CKD),India Plant,March,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,March,0,0,0,0,0,0,0,64,0,95,0,0
Pegas,CKD,March,0,0,0,0,0,0,0,0,0,27,0,0
K3,CKD,March,0,0,0,0,0,448,0,0,0,167,0,0
K4,CKD,March,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,March,0,0,0,0,0,0,0,0,0,29,0,0
"K7, K8 / Cadenza",CKD,March,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,March,0,0,0,0,0,0,400,0,0,791,0,0
Stonic,CKD,March,0,0,0,0,0,0,0,34,0,0,0,0
Seltos,CKD,March,0,0,0,0,0,583,0,0,0,314,0,0
Soul,CKD,March,0,0,0,0,0,503,0,0,0,0,0,0
EV5,CKD,March,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,March,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,March,0,0,0,0,0,666,0,313,0,126,0,0
Sorento,CKD,March,0,0,0,0,0,0,0,89,0,72,0,0
New Carens,CKD,March,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,March,0,0,0,0,0,0,0,0,0,275,0,0
Carnival / Sedona,CKD,March,0,0,0,0,0,0,0,0,0,762,0,0
Bongo / Frontier,CKD,March,0,0,0,0,0,0,204,0,0,600,0,0
Bongo,Special Vehicle,March,0,0,0,0,0,68,0,0,0,8,0,0
Millitary,Special Vehicle,March,106,0,0,0,0,25,0,0,0,0,0,0
Bus,Special Vehicle,March,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,March,0,0,0,0,0,0,0,0,0,27,0,0
Millitary (CKD),Special Vehicle,March,0,0,0,0,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,March,0,0,0,0,0,0,0,0,0,30,0,0
Morning / Picanto,Korea Plants,April,1421,0,0,0,6350,283,1549,889,774,548,0,0
Pride / Rio,Korea Plants,April,0,0,0,0,32,4,1,0,9,0,0,0
Ray,Korea Plants,April,3244,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,April,1216,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,April,1336,0,56,37,0,134,14,730,4,1468,0,0
K5 / Optima,Korea Plants,April,3168,0,0,0,0,512,14,711,4,0,0,0
Stinger,Korea Plants,April,0,0,4,0,3,1,0,15,0,0,0,0
"K7,8 / Cadenza",Korea Plants,April,1988,0,0,0,0,21,0,73,0,0,0,0
K9,Korea Plants,April,253,0,0,0,0,10,0,0,0,0,0,0
Stonic,Korea Plants,April,0,0,0,0,5588,577,236,160,255,627,0,0
Seltos,Korea Plants,April,5025,5672,1872,0,0,440,630,243,0,823,0,0
