Model,Vehicle Type,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Kona (OS HEV),RV,Export," 1,668 "," 2,110 "," 2,261 "," 2,767 ", 166 , 27 , - , - , - , - , - , - 
Kona (OS EV),RV,Export," 2,299 "," 3,323 "," 3,115 "," 2,748 ", 991 ," 3,437 "," 2,149 ", 200 , 124 , 2 , - , - 
Kona N (OS N),RV,Export, 662 , 901 , 454 , 608 , 86 , 57 , - , - , - , - , - , - 
Kona (SX2),RV,Export, - , 2 , - ," 1,064 "," 5,040 "," 5,057 "," 6,481 "," 13,311 "," 12,746 "," 15,416 "," 15,824 "," 15,437 "
Kona (SX2 HEV),RV,Export, 1 , - , 1 , 622 ," 5,399 "," 4,588 "," 2,779 "," 3,451 "," 3,199 "," 4,003 "," 2,819 "," 3,523 "
Kona (SX2 EV),RV,Export, - , - , 15 , - , 3 , 1 , - , 81 , 172 ," 1,962 "," 1,974 "," 1,602 "
Tucson (TL),RV,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Tucson (NX4),RV,Export," 7,372 "," 6,623 "," 6,365 "," 7,256 "," 6,755 "," 7,315 "," 7,646 "," 6,811 "," 5,856 "," 8,753 "," 7,575 "," 6,577 "
Tucson (NX4 HEV),RV,Export," 3,396 "," 4,614 "," 4,235 "," 3,758 "," 4,471 "," 4,711 "," 3,804 "," 3,800 "," 3,428 "," 4,124 "," 3,810 "," 5,843 "
Tucson (NX4 PHEV),RV,Export, 503 , 964 , 949 ," 1,001 "," 1,065 "," 1,009 ", 867 , 920 , 837 , 984 , 995 ," 1,158 "
NEXO (FE),RV,Export, 97 , 40 , 29 , 27 , 15 , 3 , 3 , 7 , - , - , 2 , 1 
IONIQ 5 (NE),RV,Export," 6,989 "," 7,845 "," 7,474 "," 7,474 "," 8,242 "," 7,723 "," 7,215 "," 6,725 "," 6,260 "," 7,669 "," 7,268 "," 7,403 "
IONIQ 5 N (NE N),RV,Export, - , - , - , - , - , - , 10 , 2 , - , - , 14 , 954 
Santa-Fe (TM),RV,Export," 1,554 "," 2,003 "," 2,408 "," 3,513 "," 3,913 "," 4,445 "," 3,238 "," 2,710 ", 80 , 4 , 1 , 21 
Santa-Fe (TM HEV),RV,Export," 1,145 ", 842 ," 1,296 "," 1,398 "," 1,121 "," 1,032 "," 1,186 ", 995 , 499 , 258 , - , - 
Santa-Fe (TM PHEV),RV,Export, 539 ," 1,317 "," 1,200 "," 1,257 "," 1,310 "," 1,848 "," 1,381 "," 1,108 ", 823 , 408 , 4 , 19 
Santa-Fe (MX5),RV,Export, - , - , - , - , - , - , - , 1 , 5 , - , 5 , 628 
Santa-Fe (MX5 HEV),RV,Export, - , - , - , - , - , - , 1 , - , 3 , - , 1 , 2 
Santa-Fe (MX5 PHEV),RV,Export, - , - , - , - , - , - , - , - , 1 , 1 , - , - 
Palisade (LX2),RV,Export," 5,222 "," 9,456 "," 10,062 "," 8,074 "," 8,743 "," 9,340 "," 9,980 "," 10,334 "," 11,400 "," 14,805 "," 13,347 "," 14,205 "
GV60 (JW),RV,Export, 966 , 796 , 864 , 589 , 618 , 546 , 618 , 653 , 566 , 302 , 151 , 278 
GV70 (JK),RV,Export," 2,190 "," 3,450 "," 2,615 "," 2,549 "," 3,207 "," 1,781 ", 889 , 424 , 726 ," 1,015 ", 807 , 558 
GV70 EV (JK EV),RV,Export, 139 , 378 , 199 , 93 , 62 , 108 , 121 , 88 , 85 , 109 , 46 , 70 
GV80 (JX),RV,Export," 1,884 "," 1,842 "," 2,343 "," 2,277 "," 2,472 "," 2,350 "," 2,711 "," 2,296 "," 2,072 "," 3,298 "," 1,691 "," 2,373 "
LCV,CV,Export," 3,049 "," 3,696 "," 3,695 "," 4,618 "," 4,013 "," 4,252 "," 4,203 "," 3,245 "," 3,804 "," 4,094 "," 3,737 "," 3,664 "
HCV,CV,Export, 482 , 553 , 732 , 752 , 928 , 930 , 660 , 731 , 661 , 737 , 640 , 554 
